コード,銘柄,業種,PBR,ROA%,余地,配当質,増配率%,両輪,自社株買い,前向き,会社予想増配%,累進年数,方針,方針点,統合スコア,フラグ
6286,6286 (東S)静甲,機械,0.5,3.9,29,累進増配,30.0,,なし,16,7.7,5,-,0,48,
1899,1899 (東P)福田組,建設業,0.67,3.5,30,増配,30.0,,なし(分割あり),16,100.0,2,-,0,48,分割(2026-06-29:2)
3611,3611 (東S)マツオカ,繊維製品,0.65,1.8,25,累進増配,11.1,,なし,20,130.0,6,-,0,48,
6637,6637 (東S)寺崎電気,電気機器,0.81,5.0,25,累進増配,32.5,○,自社株買い(大),15,5.7,15,★☆☆,1,47,
9408,9408 (東S)ＢＳＮＨＤ,情報・通信業,0.6,3.1,27,累進増配,14.3,,なし,16,12.5,7,★☆☆,1,47,
8046,8046 (東S)丸藤パ,卸売業,0.46,2.9,26,累進増配,53.8,○,自社株買い?(分割あり要確認),17,90.0,5,-,0,47,分割(2026-03-30:5)
7614,7614 (東S)オーエムツー,小売業,0.57,3.7,30,累進増配,5.9,,なし,14,0.0,17,-,0,47,
1798,1798 (東S)守谷商会,建設業,0.64,6.7,29,急増(特別/記念の内訳要確認),80.0,,なし(分割あり),16,5.6,13,-,0,47,分割(2026-03-30:5)
6488,6488 (東S)ヨシタケ,機械,0.67,4.0,28,累進増配,29.6,,なし,16,2.9,5,-,0,47,
1850,1850 (東S)南海辰村,建設業,0.62,4.6,27,累進増配,33.3,○,自社株買い,12,0.0,4,★☆☆,2,46,
7299,7299 (東S)フジオーゼ,輸送用機器,0.52,4.2,26,累進増配,3.8,○,自社株買い,11,0.0,5,★★☆,4,46,
6485,6485 (東S)前沢給装,機械,0.77,3.9,24,累進増配,10.5,○,自社株買い,11,-4.8,7,★★★,6,46,
9996,9996 (東S)サトー商会,卸売業,0.63,2.7,28,累進増配,2.2,,なし,15,4.3,18,-,0,46,
9845,9845 (東S)パーカー,化学,0.69,5.5,30,急増(特別/記念の内訳要確認),112.0,,なし,14,0.0,5,-,0,46,
3020,3020 (東S)アプライド,小売業,0.8,10.2,29,累進増配,30.0,,なし,14,7.7,3,-,0,46,
3954,3954 (東S)昭和パックス,パルプ・紙,0.47,2.9,29,累進増配,25.0,,なし,13,0.0,18,-,0,45,
9475,9475 (東S)昭文社ＨＤ,情報・通信業,0.62,1.6,27,ピーク割れ(質注意),0.0,,なし,17,100.0,3,-,0,45,ピーク割れ
6932,6932 (東S)遠藤照明,電気機器,0.72,5.0,25,累進増配,76.0,,なし,17,9.1,5,-,0,45,
6249,6249 (東S)ゲームカード,機械,0.57,4.3,28,累進増配,0.0,,なし,11,0.0,9,★☆☆,2,44,
6247,6247 (東P)日阪製,機械,0.75,2.5,22,累進増配,22.2,○,自社株買い,13,1.8,9,★★☆,4,44,
9414,9414 (東S)ＢＳ１１,情報・通信業,0.67,9.4,28,累進増配,0.0,,なし,13,0.0,11,-,0,44,
3420,3420 (東S)ケーエフシー,金属製品,0.5,2.3,26,累進増配,0.0,,なし,15,7.7,3,-,0,44,
6484,6484 (東S)ＫＶＫ,機械,0.63,4.7,24,累進増配,6.7,,なし,17,12.5,5,-,0,44,
3435,3435 (東S)サンコテクノ,金属製品,0.56,4.1,21,累進増配,10.5,,なし,20,9.5,17,-,0,44,
4112,4112 (東P)保土谷,化学,0.64,2.8,21,累進増配,11.1,,なし(分割あり),20,20.0,8,-,0,44,分割(2025-03-28:2)
6848,6848 (東S)東亜ＤＫＫ,電気機器,0.73,1.0,24,累進増配,0.0,○,自社株買い,13,0.0,16,★☆☆,1,43,
4224,4224 (東S)ロンシール,化学,0.47,3.2,30,累進増配,21.4,,なし,10,0.0,3,-,0,43,
4629,4629 (東S)大伸化学,化学,0.48,2.9,30,累進増配,12.5,,なし,10,0.0,4,-,0,43,
7871,7871 (東S)フクビ,化学,0.46,2.0,30,増配,11.5,,なし,11,6.9,1,-,0,43,
1866,1866 (東S)北野建,建設業,0.53,3.7,21,累進増配,9.1,,なし(分割あり),19,100.0,4,-,0,43,分割(2025-09-29:4)
9980,9980 (東S)ＭＲＫＨＬＤ,小売業,0.59,1.8,25,累進増配,0.0,○,自社株買い(大),10,0.0,8,★☆☆,1,42,
1960,1960 (東S)サンテック,建設業,0.69,3.2,28,累進増配,62.5,,なし,11,-15.4,4,-,0,42,
7565,7565 (東S)万世電機,卸売業,0.77,4.4,30,累進増配,53.8,,なし,9,-20.0,7,-,0,42,
8006,8006 (東S)ユアサフナ,卸売業,0.59,2.7,28,累進増配,10.0,,なし(分割あり),11,0.0,5,-,0,42,分割(2025-09-29:4)
9537,9537 (東S)北陸ガス,電気・ガス業,0.37,3.5,27,累進増配,0.0,,なし,12,0.0,12,-,0,42,
9867,9867 (東S)ソレキア,卸売業,0.67,7.1,26,累進増配,7.7,,なし,13,0.0,7,-,0,42,
6279,6279 (東P)瑞光,機械,0.65,0.0,27,ピーク割れ(質注意),20.0,,自社株買い,12,33.3,1,-,0,42,ピーク割れ
9686,9686 (東S)東洋テク,サービス業,0.73,4.7,25,急増(特別/記念の内訳要確認),77.5,,なし,14,1.4,9,-,0,41,
5018,5018 (東S)ＭＯＲＥＳＣ,石油・石炭製品,0.75,3.7,24,累進増配,22.2,,なし,14,0.0,5,-,0,41,
7444,7444 (東S)ハリマ共和,卸売業,0.41,2.9,24,累進増配,20.0,,なし,14,0.0,15,-,0,41,
7628,7628 (東P)オーハシテク,卸売業,0.71,3.1,21,累進増配,8.8,,なし(分割あり),17,21.6,15,-,0,41,分割(2025-12-29:2)
7670,7670 (東S)オーウエル,卸売業,0.46,1.8,21,累進増配,0.0,,なし,17,55.6,5,-,0,41,
7539,7539 (東S)アイナボＨＤ,卸売業,0.69,3.5,30,増配,17.4,,なし(分割あり),8,-3.7,2,-,0,40,分割(2024-09-27:2)
9932,9932 (東P)杉本商,卸売業,0.63,3.0,24,累進増配,21.3,○,自社株買い?(分割あり要確認),12,0.0,4,-,0,40,分割(2024-09-27:2)
8167,8167 (東P)リテールＰＡ,小売業,0.63,3.1,26,累進増配,5.3,,なし,11,0.0,16,-,0,40,
8920,8920 (東S)東祥,サービス業,0.72,6.5,22,累進増配,100.0,○,自社株買い(大),9,0.0,3,★☆☆,2,39,
3388,3388 (東P)明治電機工業,卸売業,0.73,4.1,21,急増(特別/記念の内訳要確認),50.0,○,自社株買い,14,6.7,4,-,0,39,
6382,6382 (東S)トリニ工,機械,0.58,4.6,26,累進増配,11.7,,なし,10,-9.0,3,-,0,39,
9193,9193 (東S)東京汽,倉庫・運輸関連業,0.29,0.2,27,累進増配,0.0,,なし,9,-60.0,5,-,0,39,
2935,2935 (東P)ピックルス,食料品,0.7,4.3,24,累進増配,11.5,,なし,12,0.0,3,-,0,39,
4097,4097 (東P)高圧ガス,化学,0.73,3.0,24,急増(特別/記念の内訳要確認),100.0,,なし,13,0.0,12,-,0,39,
7472,7472 (東S)鳥羽洋行,卸売業,0.69,3.1,21,累進増配,15.4,○,自社株買い,8,-20.0,5,★★☆,4,38,
6915,6915 (東S)千代田インテ,電気機器,0.76,3.9,26,横ばい,0.0,,自社株買い(大),9,0.0,2,-,0,38,
9994,9994 (東S)やまや,小売業,0.59,3.4,26,累進増配,38.9,,なし,9,-4.0,15,-,0,38,
7927,7927 (東S)ムトー精工,化学,0.74,4.6,26,増配,21.7,,なし,10,1.7,1,-,0,38,
9818,9818 (東S)大丸エナ,卸売業,0.74,3.6,24,累進増配,7.4,,なし,11,0.0,14,-,0,38,
9991,9991 (東P)ジェコス,卸売業,0.75,4.4,24,累進増配,27.8,,なし,11,0.0,16,-,0,38,
4231,4231 (東S)タイガポリ,化学,0.43,3.1,30,減配,-28.3,,自社株買い,5,0.0,0,-,0,37,減配
9405,9405 (東P)朝日放送ＨＤ,情報・通信業,0.4,2.3,30,増配,153.8,,なし,5,-27.3,2,-,0,37,
4994,4994 (東S)大成ラミック,化学,0.57,4.4,26,減配,-12.5,,自社株買い(大),8,0.0,0,-,0,37,減配
8152,8152 (東S)ソマール,卸売業,0.69,4.9,24,累進増配,0.0,,なし,10,0.0,9,-,0,37,
6497,6497 (東S)ハマイ,機械,0.51,3.5,26,減配,-50.0,,なし,11,125.0,0,-,0,37,減配
7937,7937 (東S)ツツミ,その他製品,0.58,4.6,21,累進増配,43.8,,なし,13,0.0,12,-,0,37,
4627,4627 (東S)ナトコ,化学,0.53,3.3,23,減配,-50.9,,なし,14,100.0,0,-,0,37,減配
7521,7521 (東S)ムサシ,卸売業,0.51,5.7,27,増配,26.7,,なし,7,-52.6,2,-,0,36,
7820,7820 (東P)ニホンフラ,その他製品,0.51,2.5,24,累進増配,0.0,,なし,9,0.0,16,-,0,36,
8158,8158 (東P)ソーダニッカ,卸売業,0.77,2.1,24,増配,10.0,,なし,10,0.0,2,-,0,36,
6419,6419 (東P)マースＧＨＤ,機械,0.67,6.1,28,減配,-23.1,,自社株買い,5,0.0,0,-,0,35,減配
6149,6149 (東S)小田原エンジ,機械,0.67,8.2,22,累進増配,40.0,,なし,10,0.0,3,-,0,35,
9990,9990 (東P)サックスバー,小売業,0.71,4.8,22,累進増配,16.7,,なし,10,0.0,5,-,0,35,
6820,6820 (東P)アイコム,電気機器,0.64,2.3,21,減配,-9.6,,なし,14,16.0,0,-,0,35,減配
6137,6137 (東S)小池工,機械,0.68,3.9,26,減配,-3.8,,なし(分割あり),8,0.0,0,-,0,34,減配/分割(2025-03-28:5)
3892,3892 (東S)岡山製紙,パルプ・紙,0.52,3.1,23,減配,-50.0,,なし,11,100.0,0,-,0,34,減配
6151,6151 (東P)日東工器,機械,0.52,1.1,28,ピーク割れ(質注意),2.6,,なし,4,-20.0,1,-,0,33,ピーク割れ
7551,7551 (東S)ウェッズ,輸送用機器,0.62,4.5,28,ピーク割れ(質注意),0.0,,なし,4,-18.5,1,-,0,33,ピーク割れ
4113,4113 (東S)田岡化,化学,0.52,4.2,26,増配,16.1,,なし,5,-83.3,2,-,0,33,
6718,6718 (東P)アイホン,電気機器,0.64,2.2,24,累進増配,0.0,,なし,6,0.0,3,-,0,33,
6496,6496 (東S)中北製,機械,0.67,,21,減配,-47.6,,なし,12,100.0,0,-,0,33,減配
9726,9726 (東S)ＫＮＴＣＴ,サービス業,0.8,2.7,20,配当データ不足,,,なし,13,100.0,0,-,0,33,
6493,6493 (東S)ＮＩＴＴＡＮ,輸送用機器,0.43,3.7,20,累進増配,66.7,,なし,9,0.0,3,-,0,32,
6797,6797 (東S)名古屋電機,電気機器,0.58,3.9,23,増配,5.9,○,自社株買い?(分割あり要確認),5,0.0,1,-,0,31,分割(2025-03-28:2)
2193,2193 (東S)クックパッド,サービス業,0.72,0.1,22,減配,-20.0,,自社株買い(大),6,,0,-,0,31,減配
2735,2735 (東S)ワッツ,小売業,0.63,3.5,26,減配,-34.4,,なし,3,-25.0,0,-,0,29,減配
8093,8093 (東P)極東貿易,卸売業,0.65,2.8,24,ピーク割れ(質注意),5.7,,なし,4,0.0,1,-,0,29,ピーク割れ
6430,6430 (東P)ダイコク電,機械,0.67,10.4,23,減配,-16.7,,なし,6,0.0,0,-,0,29,減配
7991,7991 (東S)マミヤＯＰ,機械,0.41,2.9,23,減配,-50.0,,なし,5,0.0,0,-,0,28,減配
